DATE,MinTemp,MaxTemp,AvgTemp
01-01-2014,33,46,40
01-02-2014,35,50,43
01-03-2014,36,45,41
01-04-2014,32,41,37
01-05-2014,24,38,31
01-06-2014,22,39,31
01-07-2014,28,45,37
01-08-2014,30,41,36
01-09-2014,29,42,36
01-10-2014,30,47,39
01-11-2014,32,47,40
01-12-2014,30,47,39
1/13/2014,29,42,36
1/14/2014,31,47,39
1/15/2014,35,51,43
1/16/2014,35,55,45
1/17/2014,42,57,50
1/18/2014,38,54,46
1/19/2014,37,51,44
1/20/2014,36,53,45
1/21/2014,40,55,48
1/22/2014,31,44,38
1/23/2014,31,46,39
1/24/2014,39,54,47
1/25/2014,41,62,52
1/26/2014,42,58,50
1/27/2014,38,51,45
1/28/2014,29,39,34
1/29/2014,30,36,33
1/30/2014,28,39,34
1/31/2014,33,42,38
02-01-2014,35,50,43
02-02-2014,37,49,43
02-03-2014,36,50,43
02-04-2014,36,55,46
02-05-2014,38,53,46
02-06-2014,39,49,44
02-07-2014,39,52,46
02-08-2014,37,52,45
02-09-2014,34,57,46
02-10-2014,36,54,45
02-11-2014,34,52,43
02-12-2014,35,52,44
2/13/2014,35,49,42
2/14/2014,36,48,42
2/15/2014,38,55,47
2/16/2014,36,46,41
2/17/2014,36,43,40
2/18/2014,37,45,41
2/19/2014,35,46,41
2/20/2014,33,47,40
2/21/2014,34,48,41
2/22/2014,34,48,41
2/23/2014,33,48,41
2/24/2014,33,50,42
2/25/2014,33,47,40
2/26/2014,36,50,43
2/27/2014,36,55,46
2/28/2014,36,57,47
03-01-2014,41,55,48
03-02-2014,31,45,38
03-03-2014,31,42,37
03-04-2014,34,43,39
03-05-2014,33,46,40
03-06-2014,35,46,41
03-07-2014,34,54,44
03-08-2014,34,43,39
03-09-2014,36,47,42
03-10-2014,32,47,40
03-11-2014,31,49,40
03-12-2014,29,50,40
3/13/2014,33,55,44
3/14/2014,36,51,44
3/15/2014,32,48,40
3/16/2014,31,49,40
3/17/2014,36,53,45
3/18/2014,35,53,44
3/19/2014,35,53,44
3/20/2014,33,48,41
3/21/2014,30,48,39
3/22/2014,30,43,37
3/23/2014,32,45,39
3/24/2014,31,51,41
3/25/2014,34,53,44
3/26/2014,35,55,45
3/27/2014,31,46,39
3/28/2014,29,43,36
3/29/2014,32,39,36
3/30/2014,32,41,37
3/31/2014,31,42,37
04-01-2014,34,45,40
04-02-2014,33,52,43
04-03-2014,36,51,44
04-04-2014,31,50,41
04-05-2014,31,51,41
04-06-2014,35,49,42
04-07-2014,35,49,42
04-08-2014,35,52,44
04-09-2014,36,53,45
04-10-2014,35,55,45
04-11-2014,37,56,47
04-12-2014,36,52,44
4/13/2014,32,49,41
4/14/2014,31,50,41
4/15/2014,36,53,45
4/16/2014,40,59,50
4/17/2014,42,58,50
4/18/2014,43,60,52
4/19/2014,43,60,52
4/20/2014,41,57,49
4/21/2014,40,54,47
4/22/2014,38,58,48
4/23/2014,41,58,50
4/24/2014,41,59,50
4/25/2014,43,59,51
4/26/2014,45,62,54
4/27/2014,42,53,48
4/28/2014,40,53,47
4/29/2014,39,53,46
4/30/2014,37,50,44
05-01-2014,36,53,45
05-02-2014,38,51,45
05-03-2014,36,55,46
05-04-2014,36,55,46
05-05-2014,40,54,47
05-06-2014,40,58,49
05-07-2014,42,60,51
05-08-2014,42,61,52
05-09-2014,44,59,52
05-10-2014,42,56,49
05-11-2014,40,56,48
05-12-2014,38,55,47
5/13/2014,38,56,47
5/14/2014,40,55,48
5/15/2014,41,58,50
5/16/2014,44,60,52
5/17/2014,,,
5/18/2014,43,60,52
5/19/2014,44,60,52
5/20/2014,44,62,53
5/21/2014,47,62,55
5/22/2014,44,59,52
5/23/2014,41,58,50
5/24/2014,39,57,48
5/25/2014,38,52,45
5/26/2014,36,47,42
5/27/2014,35,49,42
5/28/2014,35,51,43
5/29/2014,34,53,44
5/30/2014,36,55,46
5/31/2014,35,51,43
06-01-2014,34,53,44
06-02-2014,36,48,42
06-03-2014,38,53,46
06-04-2014,37,53,45
06-05-2014,40,55,48
06-06-2014,35,52,44
06-07-2014,36,53,45
06-08-2014,42,54,48
06-09-2014,44,57,51
06-10-2014,43,60,52
06-11-2014,42,55,49
06-12-2014,37,53,45
6/13/2014,35,57,46
6/14/2014,37,62,50
6/15/2014,42,60,51
6/16/2014,41,58,50
6/17/2014,37,52,45
6/18/2014,36,51,44
6/19/2014,40,57,49
6/20/2014,39,52,46
6/21/2014,35,48,42
6/22/2014,37,53,45
6/23/2014,41,60,51
6/24/2014,42,60,51
6/25/2014,45,62,54
6/26/2014,48,64,56
6/27/2014,47,60,54
6/28/2014,47,59,53
6/29/2014,45,61,53
6/30/2014,43,61,52
07-01-2014,45,62,54
07-02-2014,47,61,54
07-03-2014,48,66,57
07-04-2014,47,65,56
07-05-2014,43,61,52
07-06-2014,40,58,49
07-07-2014,40,56,48
07-08-2014,44,55,50
07-09-2014,43,59,51
07-10-2014,43,62,53
07-11-2014,43,62,53
07-12-2014,42,61,52
7/13/2014,40,56,48
7/14/2014,41,51,46
7/15/2014,38,55,47
7/16/2014,39,52,46
7/17/2014,39,59,49
7/18/2014,37,59,48
7/19/2014,41,56,49
7/20/2014,41,51,46
7/21/2014,42,58,50
7/22/2014,43,52,48
7/23/2014,44,61,53
7/24/2014,45,62,54
7/25/2014,44,64,54
7/26/2014,42,57,50
7/27/2014,38,54,46
7/28/2014,35,58,47
7/29/2014,34,53,44
7/30/2014,38,56,47
7/31/2014,39,55,47
08-01-2014,44,62,53
08-02-2014,42,60,51
08-03-2014,43,60,52
08-04-2014,44,64,54
08-05-2014,43,61,52
08-06-2014,40,60,50
08-07-2014,41,50,46
08-08-2014,41,52,47
08-09-2014,39,57,48
08-10-2014,38,53,46
08-11-2014,39,56,48
08-12-2014,40,58,49
8/13/2014,41,62,52
8/14/2014,44,63,54
8/15/2014,45,63,54
8/16/2014,42,62,52
8/17/2014,39,58,49
8/18/2014,38,57,48
8/19/2014,36,55,46
8/20/2014,38,54,46
8/21/2014,40,56,48
8/22/2014,39,57,48
8/23/2014,43,60,52
8/24/2014,42,59,51
8/25/2014,41,60,51
8/26/2014,41,56,49
8/27/2014,40,55,48
8/28/2014,39,56,48
8/29/2014,38,55,47
8/30/2014,44,59,52
8/31/2014,42,60,51
09-01-2014,38,55,47
09-02-2014,42,59,51
09-03-2014,42,60,51
09-04-2014,44,58,51
09-05-2014,44,61,53
09-06-2014,41,58,50
09-07-2014,39,54,47
09-08-2014,39,53,46
09-09-2014,39,54,47
09-10-2014,40,55,48
09-11-2014,42,56,49
09-12-2014,39,60,50
9/13/2014,41,60,51
9/14/2014,42,59,51
9/15/2014,43,57,50
9/16/2014,40,52,46
9/17/2014,39,53,46
9/18/2014,37,55,46
9/19/2014,40,54,47
9/20/2014,41,51,46
9/21/2014,38,52,45
9/22/2014,40,56,48
9/23/2014,41,59,50
9/24/2014,41,58,50
9/25/2014,40,56,48
9/26/2014,41,61,51
9/27/2014,42,52,47
9/28/2014,42,56,49
9/29/2014,40,54,47
9/30/2014,35,52,44
10-01-2014,37,53,45
10-02-2014,38,52,45
10-03-2014,36,52,44
10-04-2014,38,52,45
10-05-2014,40,52,46
10-06-2014,38,54,46
10-07-2014,42,53,48
10-08-2014,42,56,49
10-09-2014,42,60,51
10-10-2014,39,58,49
10-11-2014,39,54,47
10-12-2014,36,53,45
10/13/2014,33,53,43
10/14/2014,37,54,46
10/15/2014,39,58,49
10/16/2014,43,61,52
10/17/2014,44,51,48
10/18/2014,43,48,46
10/19/2014,42,54,48
10/20/2014,41,60,51
10/21/2014,38,59,49
10/22/2014,41,55,48
10/23/2014,36,56,46
10/24/2014,40,58,49
10/25/2014,39,58,49
10/26/2014,37,59,48
10/27/2014,39,55,47
10/28/2014,40,58,49
10/29/2014,41,57,49
10/30/2014,39,56,48
10/31/2014,37,56,47
11-01-2014,37,51,44
11-02-2014,41,54,48
11-03-2014,40,54,47
11-04-2014,37,48,43
11-05-2014,39,56,48
11-06-2014,43,56,50
11-07-2014,38,57,48
